abs_x=617.5, abs_y=522.0, text='Temp' (conf=0.73)
abs_x=789.5, abs_y=520.0, text='From' (conf=0.97)
abs_x=959.5, abs_y=523.0, text='T0' (conf=0.61)
abs_x=1117.5, abs_y=525.0, text='min' (conf=0.77)
abs_x=1281.0, abs_y=506.5, text='e' (conf=0.02)
abs_x=1463.5, abs_y=536.5, text='WL M:' (conf=0.84)
abs_x=1683.5, abs_y=514.5, text='VLT DL' (conf=0.42)
abs_x=1899.0, abs_y=515.5, text='VVL' (conf=0.74)
abs_x=2357.5, abs_y=524.0, text='Total' (conf=0.96)
abs_x=2551.5, abs_y=518.0, text='Tomp' (conf=0.30)
abs_x=426.5, abs_y=533.5, text='M3' (conf=0.28)
abs_x=232.5, abs_y=533.5, text='M:' (conf=0.42)
abs_x=257.5, abs_y=515.5, text='3' (conf=1.00)
abs_x=2119.5, abs_y=545.5, text='WL M:' (conf=0.61)
abs_x=1277.5, abs_y=557.5, text='%' (conf=1.00)
abs_x=1680.5, abs_y=563.5, text='M:' (conf=0.80)
abs_x=1896.5, abs_y=571.5, text='%' (conf=1.00)
abs_x=2356.0, abs_y=578.5, text='M3' (conf=0.54)
abs_x=231.5, abs_y=708.0, text='4?' (conf=0.17)
abs_x=1437.0, abs_y=718.0, text='8_22' (conf=0.35)
abs_x=435.0, abs_y=728.5, text='206' (conf=0.90)
abs_x=609.0, abs_y=733.5, text='l07' (conf=0.48)
abs_x=2440.5, abs_y=764.0, text='7/4[y3' (conf=0.12)
abs_x=881.5, abs_y=741.5, text='2 3S5.e3]' (conf=0.15)
abs_x=1660.5, abs_y=746.5, text='5e/5' (conf=0.47)
abs_x=2106.5, abs_y=735.0, text='12.4y' (conf=0.27)
abs_x=1117.0, abs_y=741.0, text='8x' (conf=0.52)
abs_x=1271.0, abs_y=741.0, text='2-7' (conf=0.19)
abs_x=1885.5, abs_y=756.0, text='4.24' (conf=0.78)
abs_x=1461.5, abs_y=764.5, text='748' (conf=0.46)
abs_x=224.0, abs_y=782.5, text='T' (conf=0.97)
abs_x=2130.5, abs_y=780.5, text='1Z4' (conf=0.31)
abs_x=411.5, abs_y=788.5, text='209' (conf=0.38)
abs_x=1456.0, abs_y=839.5, text='8443' (conf=0.29)
abs_x=1685.0, abs_y=837.5, text='542' (conf=0.85)
abs_x=616.5, abs_y=819.0, text=')o2' (conf=0.27)
abs_x=1479.0, abs_y=808.5, text='Do' (conf=0.32)
abs_x=789.0, abs_y=831.5, text='523' (conf=0.98)
abs_x=258.5, abs_y=828.5, text='222' (conf=0.59)
